fecha,precio
2014.1479452054793,174.0
2014.150684931507,135.8
2014.1534246575343,593.1
2014.1561643835616,596.5
2014.158904109589,573.9
2014.1616438356164,557.4
2014.164383561644,544.6
2014.1671232876713,662.2
2014.1698630136987,661.8
2014.172602739726,658.3
2014.1753424657534,648.3
2014.1780821917807,616.7
2014.1808219178083,609.2
2014.1835616438357,627.0
2014.186301369863,613.0
2014.1890410958904,608.7
2014.1917808219177,619.4
2014.194520547945,625.0
2014.1972602739727,614.0
2014.2,624.0
2014.2027397260274,619.1
2014.2054794520548,606.4
2014.2082191780821,598.9
2014.2109589041097,595.0
2014.213698630137,566.0
2014.2164383561644,549.6
2014.2191780821918,564.3
2014.2219178082191,551.2
2014.2246575342465,567.6
2014.227397260274,562.9
2014.2301369863014,562.5
2014.2328767123288,460.5
