numero,fecha,precio
246,2014.2246575342465,567.6
247,2014.227397260274,562.9
248,2014.2301369863014,562.5
249,2014.2328767123288,460.5
250,2014.2356164383561,482.6
251,2014.2383561643835,477.1
252,2014.2410958904109,446.9
253,2014.2438356164384,444.7
254,2014.2465753424658,463.5
255,2014.2493150684932,424.4
256,2014.2520547945205,436.3
257,2014.2547945205479,444.4
258,2014.2575342465752,456.6
259,2014.2602739726028,455.7
260,2014.2630136986302,462.4
261,2014.2657534246575,466.6
262,2014.268493150685,457.3
263,2014.2712328767122,384.6
264,2014.2739726027398,435.1
265,2014.2767123287672,437.6
266,2014.2794520547945,427.6
267,2014.282191780822,478.4
268,2014.2849315068493,526.4
269,2014.2876712328766,537.0
270,2014.2904109589042,502.0
271,2014.2931506849316,485.5
272,2014.295890410959,506.0
273,2014.2986301369863,498.5
274,2014.3013698630136,495.2
275,2014.304109589041,487.9
276,2014.3068493150686,487.3
277,2014.309589041096,500.3
278,2014.3123287671233,464.5
279,2014.3150684931506,457.9
280,2014.3179223744291,443.2
281,2014.3206621004567,441.9
282,2014.323401826484,446.1
283,2014.3261415525114,445.6
284,2014.3288812785388,460.1
285,2014.3316210045662,453.7
286,2014.3343607305935,438.6
287,2014.337100456621,436.0
288,2014.3398401826485,430.9
289,2014.3425799086758,432.2
290,2014.3453196347032,446.5
291,2014.3480593607305,441.1
292,2014.350799086758,445.5
293,2014.3535388127855,451.9
294,2014.3562785388128,433.2
295,2014.3590182648402,438.2
296,2014.3617579908675,433.9
297,2014.364497716895,442.6
298,2014.3672374429225,448.1
299,2014.3699771689498,453.6
300,2014.3727168949772,452.8
301,2014.3754566210046,450.1
302,2014.378196347032,443.9
303,2014.3809360730593,484.6
304,2014.3836757990869,488.8
305,2014.3864155251142,515.4
306,2014.3891552511416,518.1
307,2014.391894977169,520.5
308,2014.3946347031963,570.4
309,2014.3973744292236,582.0
310,2014.4001141552512,570.1
311,2014.4028538812786,570.8
312,2014.405593607306,564.4
313,2014.4083333333333,612.3
